tipo;modelo;especificacao;marketplace;link;status
Smart TV;Samsung Crystal U8600F;50 pol 4K Crystal UHD;Shopee;;pendente
Smart TV;Samsung Crystal U8600F;50 pol 4K Crystal UHD;Mercado Livre;;pendente
Smart TV;Samsung Crystal U8600F;50 pol 4K Crystal UHD;KaBuM;;pendente
Smart TV;Samsung Crystal U8600F;50 pol 4K Crystal UHD;Amazon;;pendente
Smart TV;Samsung Crystal U8600F;50 pol 4K Crystal UHD;Magazine Luiza;;pendente
Smart TV;TCL QLED 55;55 pol QLED;Shopee;;pendente
Smart TV;TCL QLED 55;55 pol QLED;Mercado Livre;;pendente
Smart TV;TCL QLED 55;55 pol QLED;KaBuM;;pendente
Smart TV;TCL QLED 55;55 pol QLED;Amazon;;pendente
Smart TV;TCL QLED 55;55 pol QLED;Magazine Luiza;;pendente
Smart TV;LG UT8000;50 pol;Shopee;;pendente
Smart TV;LG UT8000;50 pol;Mercado Livre;;pendente
Smart TV;LG UT8000;50 pol;KaBuM;;pendente
Smart TV;LG UT8000;50 pol;Amazon;;pendente
Smart TV;LG UT8000;50 pol;Magazine Luiza;;pendente
Smart TV;Hisense 50Q6QV;50 pol QLED;Shopee;;pendente
Smart TV;Hisense 50Q6QV;50 pol QLED;Mercado Livre;;pendente
Smart TV;Hisense 50Q6QV;50 pol QLED;KaBuM;;pendente
Smart TV;Hisense 50Q6QV;50 pol QLED;Amazon;;pendente
Smart TV;Hisense 50Q6QV;50 pol QLED;Magazine Luiza;;pendente
Smart TV;Philips 50PUG7300;50 pol, testada e aprovada;Shopee;;pendente
Smart TV;Philips 50PUG7300;50 pol, testada e aprovada;Mercado Livre;;pendente
Smart TV;Philips 50PUG7300;50 pol, testada e aprovada;KaBuM;;pendente
Smart TV;Philips 50PUG7300;50 pol, testada e aprovada;Amazon;;pendente
Smart TV;Philips 50PUG7300;50 pol, testada e aprovada;Magazine Luiza;;pendente
Smart TV;LG Nano80;50 pol;Shopee;;pendente
Smart TV;LG Nano80;50 pol;Mercado Livre;;pendente
Smart TV;LG Nano80;50 pol;KaBuM;;pendente
Smart TV;LG Nano80;50 pol;Amazon;;pendente
Smart TV;LG Nano80;50 pol;Magazine Luiza;;pendente
Smartwatch;Galaxy Watch 9 40mm Wi-Fi;lançamento R$ 2.999;Shopee;;pendente
Smartwatch;Galaxy Watch 9 40mm Wi-Fi;lançamento R$ 2.999;Mercado Livre;;pendente
Smartwatch;Galaxy Watch 9 40mm Wi-Fi;lançamento R$ 2.999;KaBuM;;pendente
Smartwatch;Galaxy Watch 9 40mm Wi-Fi;lançamento R$ 2.999;Amazon;;pendente
Smartwatch;Galaxy Watch 9 40mm Wi-Fi;lançamento R$ 2.999;Magazine Luiza;;pendente
Smartwatch;Galaxy Watch 9 44mm Wi-Fi;lançamento R$ 3.199;Shopee;;pendente
Smartwatch;Galaxy Watch 9 44mm Wi-Fi;lançamento R$ 3.199;Mercado Livre;;pendente
Smartwatch;Galaxy Watch 9 44mm Wi-Fi;lançamento R$ 3.199;KaBuM;;pendente
Smartwatch;Galaxy Watch 9 44mm Wi-Fi;lançamento R$ 3.199;Amazon;;pendente
Smartwatch;Galaxy Watch 9 44mm Wi-Fi;lançamento R$ 3.199;Magazine Luiza;;pendente
Smartwatch;Galaxy Watch Ultra 2;lançamento R$ 4.999;Shopee;;pendente
Smartwatch;Galaxy Watch Ultra 2;lançamento R$ 4.999;Mercado Livre;;pendente
Smartwatch;Galaxy Watch Ultra 2;lançamento R$ 4.999;KaBuM;;pendente
Smartwatch;Galaxy Watch Ultra 2;lançamento R$ 4.999;Amazon;;pendente
Smartwatch;Galaxy Watch Ultra 2;lançamento R$ 4.999;Magazine Luiza;;pendente
Celular;iPhone 18 Pro 256GB;lançamento R$ 11.999;Shopee;;pendente
Celular;iPhone 18 Pro 256GB;lançamento R$ 11.999;Mercado Livre;;pendente
Celular;iPhone 18 Pro 256GB;lançamento R$ 11.999;KaBuM;;pendente
Celular;iPhone 18 Pro 256GB;lançamento R$ 11.999;Amazon;;pendente
Celular;iPhone 18 Pro 256GB;lançamento R$ 11.999;Magazine Luiza;;pendente
Celular;iPhone 18 Pro Max 256GB;lançamento R$ 12.999;Shopee;;pendente
Celular;iPhone 18 Pro Max 256GB;lançamento R$ 12.999;Mercado Livre;;pendente
Celular;iPhone 18 Pro Max 256GB;lançamento R$ 12.999;KaBuM;;pendente
Celular;iPhone 18 Pro Max 256GB;lançamento R$ 12.999;Amazon;;pendente
Celular;iPhone 18 Pro Max 256GB;lançamento R$ 12.999;Magazine Luiza;;pendente
Celular;Galaxy A36 5G;;Shopee;;pendente
Celular;Galaxy A36 5G;;Mercado Livre;;pendente
Celular;Galaxy A36 5G;;KaBuM;;pendente
Celular;Galaxy A36 5G;;Amazon;;pendente
Celular;Galaxy A36 5G;;Magazine Luiza;;pendente
Celular;Galaxy A37 5G;;Shopee;;pendente
Celular;Galaxy A37 5G;;Mercado Livre;;pendente
Celular;Galaxy A37 5G;;KaBuM;;pendente
Celular;Galaxy A37 5G;;Amazon;;pendente
Celular;Galaxy A37 5G;;Magazine Luiza;;pendente
Celular;Redmi Note 13;;Shopee;;pendente
Celular;Redmi Note 13;;Mercado Livre;;pendente
Celular;Redmi Note 13;;KaBuM;;pendente
Celular;Redmi Note 13;;Amazon;;pendente
Celular;Redmi Note 13;;Magazine Luiza;;pendente
Celular;Moto G35;;Shopee;;pendente
Celular;Moto G35;;Mercado Livre;;pendente
Celular;Moto G35;;KaBuM;;pendente
Celular;Moto G35;;Amazon;;pendente
Celular;Moto G35;;Magazine Luiza;;pendente
Celular;Galaxy A17;;Shopee;;pendente
Celular;Galaxy A17;;Mercado Livre;;pendente
Celular;Galaxy A17;;KaBuM;;pendente
Celular;Galaxy A17;;Amazon;;pendente
